Reference number	Reference						
R501	BrÖnmark, C. (1989) How Do Herbivorous Freshwater Snails Affect Macrophytes?--A Comment. Ecology, 71, 1212–1215. https://doi.org/10.2307/1937391.	여러 다른 분류군도 Macrophyte 먹는 얘기 있음					
R502	Wang, H.-J., Pan, B.-Z., Liang, X.-M. & Wang, H.-Z. (2006) Gastropods on Submersed Macrophytes in Yangtze Lakes: Community Characteristics and Empirical Modelling. International Review of Hydrobiology, 91, 521–538. https://doi.org/10.1002/iroh.200510846.						
R503	Choi, J.-Y. & Kim, S.-K. (2020) Effects of Aquatic Macrophytes on Spatial Distribution and Feeding Habits of Exotic Fish Species Lepomis macrochirus and Micropterus salmoides in Shallow Reservoirs in South Korea. Sustainability, 12, 1447. https://doi.org/10.3390/su12041447.						
R504	Rao, L.M. & Prasad, N.H.K.D. (2002) Comparative studies on the food and feeding habits of Therapon jarbua (Forskal) in relation to aquatic pollution. Indian Journal of Fisheries, 49, 199–203.						
R505	Brown, D.S. (1961) The Food of the Larvae of Chloeon dipterum L. and Baetis rhodani (Pictet) (Insecta, Ephemeroptera). The Journal of Animal Ecology, 30, 55. https://doi.org/10.2307/2113.						
R506	ORMEROD, S.J., WADE, K.R. & GEE, A.S. (1987) Macro-floral assemblages in upland Welsh streams in relation to acidity, and their importance to invertebrates. Freshwater Biology, 18, 545–557. https://doi.org/10.1111/j.1365-2427.1987.tb01339.x.						
R507	Wallace, J.B. (1975) Food Partitioning in Net-spinning Trichoptera Larvae: Hydropsyche venularis, Cheumatopsyche etrona, and Macronema zebratum (Hydropsychidae). Annals of the Entomological Society of America, 68, 463–472. https://doi.org/10.1093/aesa/68.3.463.						
R508	Monkolprasit, S. (1994) Fish composition and food habits in mangrove forests at Phang-Nga Bay and Ban Don Bay, Thailand. Journal of Fisheries and Environment, 20, 1–21.						
R509	Stewart, K.W. & Anderson, N.H. (2009) The Life History and Nymphal Generic Character Development of Sweltsa adamantea Surdick (Plecoptera; Chloroperlidae) in an Oregon Summer-Dry Headwater Stream. Transactions of the American Entomological Society (1890-), 135, 161–173.						
R510	Blaber, S. (1980) Fish of Trinity Inlet system of north Queensland with notes on the ecology of fish faunas of tropical Indo-Pacific estuaries. Marine and Freshwater Research, 31, 137. https://doi.org/10.1071/MF9800137.						
R511	Glynn, P.W. (1965) Community composition, structure, and interrelationships in the marine intertidal Endocladia muricata--Balanus glandula association in Monterey Bay, California. Beaufortia, 12, 1–198.						
R512	Poelen, J.H., Simons, J.D. & Mungall, C.J. (2014) Global biotic interactions: An open infrastructure to share and analyze species-interaction datasets. Ecological Informatics, 24, 148–159. https://doi.org/10.1016/j.ecoinf.2014.08.005.						
R513	Muck, P. & Sanchez, G. (1987) The importance of mackerel and horse mackerel predation for the Peruvian anchoveta stock (a population and feeding model). The Peruvian anchoveta and its upwelling ecosystem: Three decades of change, 15, 276–293.						
R514	Brodeur, R.D., Lorz, H. V. & Pearcy, W.G. (1987) NOAA technical report NMFS 57: Food habits and dietary variability of pelagic nekton off Oregon and Washington, 1979-1984, US Department of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service 32p.						
R515	Allen, J.A. (1958) Observations on Cochlodesma praetenue (Pulteney)[Eulamellibranchia]. Journal of the Marine Biological Association of the United Kingdom, 37, 97–112.						
R516	Froese, R. & Pauly, D. (2023) FishBase. www.fishbase.org.						
R517	Townsend, C.R. & Hildrew, A.G. (1978) Predation strategy and resource utilisation by Plectrocnemia conspersa (CURTIS) (Trichoptera: Polycentropodidae). Proceedings of the 2nd International Symposium on Trichoptera, pp. 283–291. Springer Netherlands, Dordrecht. https://doi.org/10.1007/978-94-017-2778-5_31.						
R518	Studies on the functional morphology and biology of the Notostraca (Crustacea: Branchiopoda) (1988) Philosophical Transactions of the Royal Society of London. B, Biological Sciences, 321, 27–124. https://doi.org/10.1098/rstb.1988.0091.						
R519	Pozas-Schacre, C., Casey, J.M., Brandl, S.J., Kulbicki, M., Harmelin-Vivien, M., Strona, G. & Parravicini, V. (2021) Congruent trophic pathways underpin global coral reef food webs. Proceedings of the National Academy of Sciences, 118, 5443–5447. https://doi.org/10.1073/pnas.2100966118.						
R520	Kawai, T., Hamano, T. & Matsuura, S. (1995) Feeding Behaviour of the Japanese Crayfish Cambaroides japonicus (Decapoda, ASTACOIDEA) in a Stream in Hokkaido, Japan. Fisheries science, 61, 720–721. https://doi.org/10.2331/fishsci.61.720.						
R521	Muchacheva, V.A. (1950) To the biology of stone moroko Pseudorasbora parva(Schlegel). Proceedings to the Amur Ichthyological Expedition (1945-1949), 1, 365–374.						
R522	iDiv - Show Dataset: GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 (2018) https://doi.org/10.25829/idiv.283-3-756.						
R523	Daiqin, Y., Fang, C., Daokia, L. & Baitao, L. (1997) PRELIMINARY STUDY ON THE FOOD COMPOSITION OF MUD EEL, MONOPTERUS ALBUS. ACTA HYDROBIOLOGICA SINICA, 21, 24–30.						
R524	Rainboth, W.J. (1996) FAO species identification field guide for fishery purpose. Fish of the Cambodian Mekong, Rome, 265.						
R525	Sibbing, F.A. (1988) Specializations and limitations in the utilization of food resources by the carp, Cyprinus carpio: a study of oral food processing. Environmental Biology of Fishes, 22, 161–178. https://doi.org/10.1007/BF00005379.						
R526	De Moor FC; Wilkinson, R.C.& H.H.M. (1986) Food and feeding habits of Oreochromis mossambicus (Peters) in hypertrophic Hartbeespoort Dam, South Africa. African Zoology, 21, 170–176.						
R527	Kiss, R. (1977) Les poissons et la pêche dans le lac Ihema (Rwanda, bassin moyen de l’Akagera). Annales d’hydrobiologie, 17, 263–318. [in French] (From Fishbase www.fishbase.org)						
R528	Worthington, E.B. & Ricardo, C.K. (1936) Scientific results of the Cambridge Expedition to the East African Lakes, 1930-1.-No. 15. The fish of Lake Rudolf and Lake Baringo. Journal of the Linnean Society of London, Zoology, 39, 353–389. https://doi.org/10.1111/j.1096-3642.1936.tb00472.x.						
R529	Munro, J.L. (1967) The food of a community of East African freshwater fishes. Journal of Zoology, 151, 389–415. https://doi.org/10.1111/j.1469-7998.1967.tb02122.x.						
R530	Verbeke, J. (1959) Le régime alimentaire des poissons des lacs Edouard et Albert. Résulats Scientifiques de l’Exploration Hydrobiologique Des Lacs Kivu, Edouard et Albert, 3, 1–66.						
R531	Kenmuir, D.H.S. (1989) Fishes of Kariba, Longman Zimbabwe Ltd., Harare, Zimbabwe 135p.						
R532	Millerse (2017) Dapstrom-integrated-database-and-portal-for-fish-stomach-records. https://github.com/millerse/Dapstrom-integrated-database-and-portal-for-fish-stomach-records.						
R533	Getachew, T. (1993) The composition and nutritional status of the diet of Oreochromis niloticus in Lake Chamo, Ethiopia. Journal of Fish Biology, 42, 865–874. https://doi.org/10.1111/j.1095-8649.1993.tb00396.x.						
R534	ICES (1997) Database report of the stomach sampling project, 1991, 422p. https://doi.org/10.17895/ices.pub.4626 https://ices-library.figshare.com/articles/report/Database_report_of_the_stomach_sampling_project_1991/18624428.						
R535	Lu, K. (1991) Ariidae. The freshwater fishes of Guangdong Province (ed. by J.-H. Pan, L. Zhong, C.-Y. Zheng, H.-L. Wu, and J.-H. Liu) , pp. 322–324. Guangdong Science and Technology Press, Guangzhou.						
R536	Smolenski, A., Ovenden, J. & White, R. (1994) Preliminary investigation of mitochondrial DNA variation in jack mackerel (Trachurus declivis, Carangidae) from south-eastern Australian waters. Marine and Freshwater Research, 45, 495. https://doi.org/10.1071/MF9940495.						
R537	Dunne, J.A., Maschner, H., Betts, M.W., Huntly, N., Russell, R., Williams, R.J. & Wood, S.A. (2016) The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific Reports, 6, 21179. https://doi.org/10.1038/srep21179.						
R538	Pardo, E. V. & Dauer, D.M. (2003) Particle size selection in individuals from epifaunal versus infaunal populations of the nereidid polychaete Neanthes succinea (Polychaeta: Nereididae). Hydrobiologia, 496, 355–360. https://doi.org/10.1023/A:1026181823273.						
R539	Bascompte, J., Melián, C.J. & Sala, E. (2005) Interaction strength combinations and the overfishing of a marine food web. Proceedings of the National Academy of Sciences, 102, 5443–5447.						
R540	Wells, G.P. (1937) The Movements of the Proboscis in Glycera Dibranchiata Ehlers. Journal of Experimental Biology, 14, 290–301. https://doi.org/10.1242/jeb.14.3.290.						
R541	Fedorov, V.V. (1986) Cottidae. Fishes of the North-eastern Atlantic and the Mediterranean (ed. by P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen, and E. Tortonese) , pp. 1243–2360. UNESCO, Paris.						
R542	Di (2015) Striped Shore Crab from Duxbury Reef on May 9, 2015 by Di. iNaturalist. https://www.inaturalist.org/observations/1476897.						
R543	Morrow, J.E. (1980) The Freshwater Fishes of Alaska, Alaska Northwest Publishing Company, Anchorage, Alaska 248p.						
R544	Weissenfels, N. (1992) The filtration apparatus for food collection in freshwater sponges (Porifera, Spongillidae). Zoomorphology, 112, 51–55. https://doi.org/10.1007/BF01632994.						
R545	Bulman, C., Althaus, F., He, X., Bax, N.J. & Williams, A. (2001) Diets and trophic guilds of demersal fishes of the south-eastern Australian shelf. Marine and Freshwater Research, 52, 537. https://doi.org/10.1071/MF99152.						
R546	Tavares-Cromar, A.F. & Williams, D.D. (1996) The Importance of Temporal Resolution in Food Web Analysis: Evidence from a Detritus-Based Stream. Ecological Monographs, 66, 91–113. https://doi.org/10.2307/2963482.						
R547	Brown, H.P. (1987) Biology of riffle beetles. Annual review of entomology, 32, 253–273.						
R548	Jakubik, B. (2012) Life strategies of Viviparidae (Gastropoda: Caenogastropoda: Architaenioglossa) in various aquatic habitats: Viviparus viviparus (Linnaeus, 1758) and V. contectus (Millet, 1813). Folia Malacologica, 20.						
R549	Hechinger, R.F., Lafferty, K.D., McLaughlin, J.P., Fredensborg, B.L., Huspeni, T.C., Lorda, J., Sandhu, P.K., Shaw, J.C., Torchin, M.E., Whitney, K.L. & Kuris, A.M. (2011) Food webs including parasites, biomass, body sizes, and life stages for three California/Baja California estuaries. Ecology, 92, 791–791. https://doi.org/10.1890/10-1383.1.						
R550	Inoue, T., Suda, Y. & Sano, M. (2005) Food habits of fishes in the surf zone of a sandy beach at Sanrimatsubara, Fukuoka Prefecture, Japan. Ichthyological Research, 52, 9–14. https://doi.org/10.1007/s10228-004-0246-2.						
R551	Kanou, K., Sano, M. & Kohno, H. (2004) Food habits of fishes on unvegetated tidal mudflats in Tokyo Bay, central Japan. Fisheries science, 70, 978–987.						
R552	Egorova, M.N. (1952) Materials on the feeding of Ussuri catfish (Liocassis ussuriensis Dyb.) and Herzenstein’s catfish (Liocassis herzensteini Berg) in Amur River basin. Trudy Amurskoi Ikhtiologicheskoi Ekspeditsii, 3, 449–490. [in Russian] (From Fishbase www.fishbase.org)						
R553	Wu, R.S.S. (1984) The feeding habits of seven demersal fish species in a subtropical estuary. Asian Marine Biology, 1, 17–26. (From Fishbase www.fishbase.org)						
R554	Williams, L.E. ed. (1997) Queensland’s fisheries resources. Current condition and recent trends 1988-1995: Information series (Queensland. Department of Primary Industries) QI97007, Department of Primary Industries, Queensland, Brisbane 101p.						
R555	Vahabnezhad, A., Kaymaram, F., Taghavi Motlagh, S.A., Valinasab, T. & Fatemi, S.M.R. (2016) The reproductive biology and feeding habits of yellow fin seabream, Acanthopagrus latus (Houttuyn, 1782), in the Northern Persian Gulf.						
R556	Ryan, P.A. (1986) Seasonal and size-related changes in the food of the short-finned eel, Anguilla australis in Lake Ellesmere, Canterbury, New Zealand. Environmental Biology of Fishes, 15, 47–58. https://doi.org/https://doi.org/10.1890/0012-9658(2003)084[0145:IOSFWO]2.0.CO;2.						
R557	Horinouchi, M. & Sano, M. (2000) Food habits of fishes in azostera marina bed at aburatsubo, central japan. Ichthyological Research, 47, 163–173. https://doi.org/10.1007/BF02684237.						
R558	Metillo, E.B. (2002) Temporal Patterns in the Abundance and Diet of Acetes erythraeus Nobili 1905 (Crustacea, Decapoda, Sergestidae) in the Nearshore Waters of Iligan Bay, Northern Mindanao, Philippines. Science Diliman, 14, 1–17.						
R559	CHIOU, W.-D., HWANG, J.-J., CHENG, L.-Z. & CHEN, C.-T. (2005) Food and feeding habit of Taiwan mauxia shrimp Acetes intermedius in the coastal waters of Southwestern Taiwan. Fisheries Science, 71, 361–366. https://doi.org/10.1111/j.1444-2906.2005.00988.x.						
R560	Schneider, D.W. (1997) Predation and food web structure along a habitat duration gradient. Oecologia, 110, 567–575. https://doi.org/10.1007/s004420050197.						
R561	Cattin Blandenier, M.-F. (2004) Food web ecology: models and application to conservation. Doctoral Thesis. Université de Neuchâtel (Suisse) 127p.						
R562	Pikuleva, V.A. (1952b) Feeding of yellow catfish (Pseudobagrus fulvidraco Rich.) and Brazhnikov’s catfish (Liocassis brashnikovi Berg) in the Amur River basin. Trudy Amurskoi Ikhtiologicheskoi Ekspeditsii, 3, 435–448.						
R563	Ledger, M.E., Brown, L.E., Edwards, F.K., Milner, A.M. & Woodward, G. (2013) Drought alters the structure and functioning of complex food webs. Nature Climate Change, 3, 223–227. https://doi.org/10.1038/nclimate1684.						
R564	Braber, L. & de Groot, S.J. (1973) The food of five flatfish species (Pleuronectiformes) in the southern north sea. Netherlands Journal of Sea Research, 6, 163–172. https://doi.org/10.1016/0077-7579(73)90011-2.						
R565	Maigret, J. & Ly, B. (1986) Les poissons de mer de Mauritanie, Sciences Nat, Venette (Oise) 213p.						
R566	Vasilets, P.M. & Maksimenkov, V.. V. (1998) Some biological aspects of juvenile Japanese smelt Hypomesus japonicus (Brevoort) (Osmeridae) in coastal waters of the Eastern Kamchatka. Studied on the biology and abundance dynamics of commercial fishes of Kamchatkan shelf. Collected papers. KamchatNIRO, Petropavlovsk-Kamchatsky, 4, 52–56. [in Russian] (From Fishbase www.fishbase.org)						
R567	Thiel, R., Mehner, T., Kopcke, B. & Kafemann, R. (1996) Diet Niche Relationships among Early Life Stages of Fish in German Estuaries. Marine and Freshwater Research, 47, 123. https://doi.org/10.1071/MF9960123.						
R568	Ryan, P.A. (1986) Seasonal and size-related changes in the food of the short-finned eel, Anguilla australis in Lake Ellesmere, Canterbury, New Zealand. Environmental Biology of Fishes, 15, 47–58. https://doi.org/10.1007/BF00005388.						
R569	Sarvala, J. (1974) Pàâjàrven energiatalous.(Summary: The energy budget of Lake Pââjârvi.). Luonnon Tutkija, 78, 181–190.						
R570	Levanidov, V.Y. (1959) Feeding and trophic relations of fishes in foothill inflows of lower Amur. Voprosy Ikhtiologii, 13, 139–155. [in Russian] (From Fishbase www.fishbase.org)						
R571	Nakano, S. (1999) Diet differentiation in polymorphicBrachymystax lenok in streams of southern primor′e, Russia. Ichthyological Research, 46, 100–102. https://doi.org/10.1007/BF02674953.						
R572	Hart, J.L. (1973) Pacific fishes of Canada, Fisheries Research Board of Canada, Ottawa 740p.						
R573	Roopnarine, P.D. & Hertog, R. (2013) Detailed Food Web Networks of Three Greater Antillean Coral Reef Systems: The Cayman Islands, Cuba, and Jamaica. Dataset Papers in Ecology, 2013, 1–9. https://doi.org/10.7167/2013/857470.						
R574	Fotheringham, N. (1977) Environmental Assessment of an Active Oil Field in the Northwestern Gulf of Mexico. Environmental Assessment of an Active Oil Field in the Northwestern Gulf of Mexico, 1976–1977 (ed. by W.B. Jackson) , pp. 487–549. National Marine Fisheries Service, Galveston, TX (USA). (Source https://www.globalbioticinteractions.org/)						
R575	Specziár, A., Bíró, P. & Tölg, L. (1998) Feeding and competition of five cyprinid fishes in different habitats of the Lake Balaton littoral zone, Hungary. Italian Journal of Zoology, 65, 331–336. https://doi.org/10.1080/11250009809386842.						
R576	Brodeur, R.D. & Livingston, P.A. (1988) Food habits and diet overlap of various eastern Bering Sea fishes, Washington 76p.						
R577	Beaver, R.A. (1979) Biological Studies of the Fauna of Pitcher Plants [Nepenthes] in West Malaysia. Annales de la Société entomologique de France (N.S.), 15, 3–17. https://doi.org/10.1080/21686351.1979.12278188.						
R578	Telfer, M.G. (2009) Forcipomyia paludis (Macfie, 1936) (Diptera, Ceratopogonidae) the dragonfly biting midge: first British records since 1936. Dipterists Digest, 16, 31–32.						
R579	Kitching, R.L. (1987) Spatial and Temporal Variation in Food Webs in Water-Filled Treeholes. Oikos, 48, 280. https://doi.org/10.2307/3565515.						
R580	Tokranov, A.M. & Maksimenkov, V.V. (1995) Feeding habits of predatory fishes in the Bol’shaya River estuary (West Kamchatka). Journal of Ichthyology, 35, 102–112. (From Fishbase www.fishbase.org)						
R581	Reddy, P.B. (1980) Food and feeding habits of Channa punctata (Bloch) from Guntur. Journal of Fisheries, 27, 123–129.						
R582	Talde, C.M., Mamaril SR, A.C. & Palomares, M.L.D. (2004) The diet composition of some economically important fishes in the three floodplain lakes in Agusan Marsh wildlife sanctuary in the Philippines. Sri Lanka Journal of Aquatic Sciences, 9, 45–56. https://doi.org/10.4038/sljas.v9i1.7465.						
R583	Burke, J.S. (1995) Role of feeding and prey distribution of summer and southern flounder in selection of estuarine nursery habitats. Journal of Fish Biology, 47, 355–366. https://doi.org/10.1111/j.1095-8649.1995.tb01905.x.						
R584	Ohm, P. & Remmert, H. (1955) Etudes sur les rockpools des Pyrénées-Orientales. Vie et Milieu, 6, 194–209.						
R585	Thompson, R.M. & Townsend, C.R. (2004) Land‐use influences on New Zealand stream communities: Effects on species composition, functional organisation, and food‐web structure. New Zealand Journal of Marine and Freshwater Research, 38, 595–608. https://doi.org/10.1080/00288330.2004.9517265.						
R586	Thompson, R.M. & Townsend, C.R. (2000) Is resolution the solution?: the effect of taxonomic resolution on the calculated properties of three stream food webs. Freshwater Biology, 44, 413–422. https://doi.org/10.1046/j.1365-2427.2000.00579.x.						
R587	Kitching, R.L. (1983) Community structure in water-filled treeholes in Europe and Australia-comparisons and speculations. Phytotelmata: terrestrial plants as hosts for aquatic insect communities, 205–222.						
R588	Aulio, K., Jumppanen, K., Molsa, H., Nevalainen, J., Rajasilta, M. & Vuorinen, I. (1981) Litoraalin merkitys Pyhajarven kalatuotannolle. Sakylan Pyhajarven Tila Ja Biologinen Tuotanto (Lounais-Suomen Vesiensuojeluyhdistys R. Y., Turku, Finland), 47, 173–176. [From Global Web Database (http://globalwebdb.com)]						
R589	Cummins, K.W., Coffman, W.P. & Roff, P.A. (1966) Trophic relationships in a small woodland stream. SIL Proceedings, 1922-2010, 16, 627–638. https://doi.org/10.1080/03680770.1965.11895740.						
R590	Minello, T.J., Zimmerman, R.J. & Czapla, T.E. (1989) Habitat-related differences in diets of small fishes in Lavaca Bay, Texas, 1985-1986, NOAA technical memorandum NMFS-SEFC ; 236 16p.						
R591	Closs, G.P. & Lake, P.S. (1994) Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web. Ecological Monographs, 64, 1–21. https://doi.org/10.2307/2937053.		Chironomidae	Diptera	Insecta	Arthropoda	M
R592	Griffen, B.D. & Mosblack, H. (2011) Predicting diet and consumption rate differences between and within species using gut ecomorphology. Journal of Animal Ecology, 80, 854–863.						
R593	Diener, R.A., Inglis, A. & Adams, G.B. (1974) Stomach contents of fishes from Clear Lake and tributary waters, a Texas estuarine area. Contributions in Marine Science, 18, 7–17.						
R594	Koslucher, D.G. & Minshall, G.W. (1973) Food Habits of Some Benthic Invertebrates in a Northern Cool-Desert Stream (Deep Creek, Curlew Valley, Idaho-Utah). Transactions of the American Microscopical Society, 92, 441. https://doi.org/10.2307/3225248.						
R595	YAMAMOTO, M., MAKINO, H., KOBAYASHI, J. & TOMINAGA, O. (2004) Food organisms and feeding habits of larval and juvenile Japanese flounder Paralichthys olivaceus at Ohama Beach in Hiuchi-Nada, the central Seto Inland Sea, Japan. Fisheries Science, 70, 1098–1105. https://doi.org/https://doi.org/10.1111/j.1444-2906.2004.00910.x.						
R596	Mohr, C.O. (1943) Cattle Droppings as Ecological Units. Ecological Monographs, 13, 275–298. https://doi.org/10.2307/1943223.						
R597	Percival, E. & Whitehead, H. (1929) A Quantitative Study of the Fauna of Some Types of Stream-Bed. The Journal of Ecology, 17, 282. https://doi.org/10.2307/2256044.						
R598	Love, M. (1996) Probably more than you want to know about the fishes of the Pacific Coast, Really Big Press, Santa Barbara, CA 381p. [BYRNES, J.E., REED, D.C., CARDINALE, B.J., CAVANAUGH, K.C., HOLBROOK, S.J. & SCHMITT, R.J. (2011) Climate-driven increases in storm frequency simplify kelp forest food webs. Global Change Biology, 17, 2513–2524. https://doi.org/10.1111/j.1365-2486.2011.02409.x.]						
R599	Ricker, W.E. (1934) An Ecological Classification of Certain Ontario Streams, University of Toronto Press, Toronto 114p. [from Global Web Database (http://globalwebdb.com): an online collection of food webs]						
R600	Minckley, W.L. (1963) The ecology of a spring stream: Doe Run, Meade County, Kentucky. Wildlife Monographs, 3–124.						
R601	Scott, W.B. (1973) Freshwater fishes of Canada. Fish. Res. Board Can. Bull., 184, 1–966.						
R602	Tsuda, M. (1970) Interim results of the Yoshino River productivity survey, especially on benthic animals. Proc IBP-UNESCO symp productivity problems Freshwat, Kazimierz Dolny, Poland, 1970, pp. 827–841.						
R603	Andreasson, S. (1971) Feeding habits of a sculpin (Cottus gobio L. Pisces) population, Report no 51, Drottningholm, Sweden 5–30p. (From Fishbase www.fishbase.org)						
R604	Maitland, P. & Campbell, R.N. (1992) Freshwater fishes of the British Isles, HarperCollins Publishers 368p. (From Fishbase www.fishbase.org)						
R605	Hall, J.D. (1960) Preliminary studies on the biology of native Michigan lampreys. Masters Thesis. University of Michigan 39p. (From Fishbase www.fishbase.org)						
R606	Patten, B.G. & Rodman, D.T. (1969) Reproductive behavior of northern squawfish, Ptychocheilus oregonensis. Transactions of the American Fisheries Society, 98, 108–111.						
R607	Kitching, R.L. (1985) The length of food chains: phytotelmata in Australia and elsewhere. Proceedins of the Ecological Society of Australia, 14, 123–139.						
R608	García-Berthou, E. (2001) Size-and depth-dependent variation in habitat and diet of the common carp (Cyprinus carpio). Aquatic Sciences, 63, 466–476.						
R609	Man, S.H. & Hodgkiss, I.J. (1981) Hong Kong freshwater fishes, Urban Council, Wishing Printing Company, Hong Kong 75p. (From Fishbase www.fishbase.org)						
R610	Wertz, S.P. & Domeier, M.L. (1997) Relative importance of prey items to California halibut. California Fish and Game, 83, 21–29. [from Szoboszlai, A.I., Thayer, J.A., Wood, S.A., Sydeman, W.J. & Koehn, L.E. (2015) Forage species in predator diets: Synthesis of data from the California Current. Ecological Informatics, 29, 45–56. https://doi.org/10.1016/j.ecoinf.2015.07.003.]						
R611	Reish, D.J. (1980) The effect of different pollutants on ecollogically important polychaete worms, Environmental Research Laboratory, Office of Research and Development, U.S. Environmental Protection, Narragansett, R.I. 138p.						
R612	Veilleux, É. & de Lafontaine, Y. (2007) Biological synopsis of the Chinese mitten crab (Eriocheir sinensis), Fisheries and Oceans Canada, Nanaimo - British Columbia vi, 45p.						
R613	Czerniejewski, P., Rybczyk, A. & Wawrzyniak, W. (2010) Diet of the Chinese mitten crab, Eriocheir sinensis H. Milne Edwards, 1853, and potential effects of the crab on the aquatic community in the River Odra/Oder estuary (N.-W. Poland). Crustaceana, 195–205.						
R614	Mouritsen, K.N., Poulin, R., McLaughlin, J.P. & Thieltges, D.W. (2011) Food web including metazoan parasites for an intertidal ecosystem in New Zealand. Ecology, 92, 2006–2006. https://doi.org/https://doi.org/10.1111/j.1365-2656.2011.01832.						
R615	Scott, C., Falk-Petersen, S., Gulliksen, B., Lønne, O.-J. & Sargent, J. (2001) Lipid indicators of the diet of the sympagic amphipod Gammarus wilkitzkii in the Marginal Ice Zone and in open waters of Svalbard (Arctic). Polar Biology, 24, 572–576. https://doi.org/10.1007/s003000100252.						
R616	Bodini, A., Bellingeri, M., Allesina, S. & Bondavalli, C. (2009) Using food web dominator trees to catch secondary extinctions in action. Philosophical Transactions of the Royal Society B: Biological Sciences, 364, 1725–1731. https://doi.org/10.1098/rstb.2008.0278.						
R617	Atkinson, E.G. & Percy, J.A. (1992) Diet comparison among demersal marine fish from the Canadian Arctic. Polar Biology, 11. https://doi.org/10.1007/BF00237950.						
R618	Hartley, P.H.T. (1948) Food and Feeding Relationships in a Community of Fresh-Water Fishes. The Journal of Animal Ecology, 17, 1. https://doi.org/10.2307/1604.						
R619	McKinnell, S. & Perry, R.I. (2016) Number, Size Composition and Food of Larval and Juvenile Fish Caught with a Two-boat Surface Trawl in the Strait of Georgia 1968, 1969, and 1973, Fisheries & Oceans Canada, Pacific Biological Station.						
R620	Walsh, G. & Fitzgerald, G.J. (1984) Biais inhérents à l’analyse de l’alimentation des poissons. Cas de trois espèces d’épinoches (Gasterosteidae). Nat. Can.(Que), 111, 193–202.						
R621	Weliange, W.S. & Amarasinghe, U.S. (2007) Relationship between body shape and food habits of fish from three reservoirs of Sri Lanka. Asian Fisheries Science, 20, 257.						
R622	Ruiz, V.H. & Berra, T.M. (1994) Fishes of the high Biobio River of south-central Chile with notes on diet and speculations on the origin of the ichthyofauna. Ichthyological Exploration of Freshwaters, 5, 5–18. (From Fishbase www.fishbase.org)						
R623	Markovtsev, V.G. (1983) Food selectivity of juvenile fishes of subfamily Cultrinae in Lake Khanka [Ecology and behavior, RSFSR-in-Asia]. Hydrobiological Journal.						
R624	Pearcy, W.G., Brodeur, R.D. & Fisher, J.P. (1990) Distribution and biology of juvenile cutthroat trout Oncorhynchus clarki clarki and steelhead O. mykiss in coastal waters off Oregon and Washington. Fisheries Bulletin, 88, 697–711.						
R625	Wilbur, H.M. (1972) Competition, Predation, and the Structure of the Ambystoma-Rana Sylvatica Community. Ecology, 53, 3–21. https://doi.org/https://doi.org/10.1643/0045-8511(2001)003[0212:]2.0.CO;2.						
R626	Baldwin, C.C. (2003) FAO species identification guide for fishery purposes. The living marine resources of the Western Central Pacific.						
R627	Soriguer, M.C., Vallesp\’\in, C., Gomez-Cama, C. & Hernando, J.A. (2000) Age, diet, growth and reproduction of a population of Cobitis paludica (de Buen, 1930) in the Palancar Stream (southwest of Europe, Spain)(Pisces: Cobitidae). Hydrobiologia, 436, 51–58.						
R628	Lim, P. (1999) Diversity and spatial distribution of freshwater fish in Great Lake and Tonle Sap river (Cambodia, Southeast Asia). Aquatic Living Resources, 12, 379–386. https://doi.org/10.1016/S0990-7440(99)00107-2.						
R629	Deng, J.Y., Meng, T.X. & Ren, S.M. (1988) Food web of fishes in the Bohai Sea. Marine Fisheries Research, 9, 151–171. (From Fishbase www.fishbase.org)						
R630	Tilly, L.J. (1968) The Structure and Dynamics of Cone Spring. Ecological Monographs, 38, 169–197. https://doi.org/10.2307/1942291.						
R631	Markovtsev, V.G. (1978) Trophic relations of juvenile fish of Cultrinae subfamily in Khanka lake. Voprosy Ikhtiologii, 18, 259–267. (From Fishbase www.fishbase.org)						
R632	Gray, C., Ma, A., Perkins, D., Hudson, L., Figueroa, D. & Woodward, G. (2015) Database of trophic interactions.						
R633	Collins, N.C., Mitchell, R. & Wiegert, R.G. (1976) Functional Analysis of a Thermal Spring Ecosystem, with an Evaluation of the Role of Consumers. Ecology, 57, 1221–1232. https://doi.org/10.2307/1935046.						
R634	Walsh, G.E. (1967) An ecological study of a Hawaiian mangrove swamp. Estuaries (ed. by G.H. Lauff) , pp. 420–431. American Association for the Advancement of Science Publication, Washington D.C. [From Global Web Database (http://globalwebdb.com)]						
R635	Winemiller, K.O. & Ponwith, B.J. (1998) Comparative ecology of eleotrid fishes in Central American coastal streams. Environmental Biology of Fishes, 53, 373–384. https://doi.org/10.1023/A:1007422821071.						
R636	Tudela, S. & Palomera, I. (1997) A Trophic ecology of the European anchovy Engraulis encrasicolus in the Catalan Sea (northwest Mediterranean). Marine Ecology Progress Series, 160, 121–134. https://doi.org/10.3354/meps160121.						
R637	Xianwu, G., Jie, Z., & Ling, Y. (1995). Experimental study on the food selectivity of Macropodus chinensis (Bloch). Journal of Lake Sciences, 7(2), 173-177.						
